Date : 2022-03-15 02:23:44
Directory : c:\Users\lukas\Desktop\Game\src
Total : 148 files,  226 codes, 2 comments, 49 blanks, all 277 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Java     |        144 |        226 |          2 |         49 |        277 |
| Python   |          4 |          0 |          0 |          0 |          0 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                        | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                           |        148 |        226 |          2 |         49 |        277 |
| characters                                                                  |          6 |        113 |          3 |         36 |        152 |
| gui                                                                         |          8 |          6 |          0 |          0 |          6 |
| gui\util                                                                    |          1 |         62 |          0 |         23 |         85 |
| gui\widgets                                                                 |          3 |        175 |          0 |         48 |        223 |
| old_tiles                                                                   |         62 |      1,626 |          1 |        357 |      1,984 |
| tiles                                                                       |         63 |       -968 |          0 |       -189 |     -1,157 |
| tiles_new                                                                   |          4 |       -641 |         -1 |       -167 |       -809 |
+-----------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                    | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| c:\Users\lukas\Desktop\Game\src\ControlWindow.java                          | Java     |          0 |          0 |          2 |          2 |
| c:\Users\lukas\Desktop\Game\src\DungeonMaster.java                          | Java     |         26 |          0 |          5 |         31 |
| c:\Users\lukas\Desktop\Game\src\TileEditor.java                             | Java     |         12 |          0 |          1 |         13 |
| c:\Users\lukas\Desktop\Game\src\TileMapWindow.java                          | Java     |         52 |         -1 |          3 |         54 |
| c:\Users\lukas\Desktop\Game\src\TileSelectorWindow.java                     | Java     |          0 |          0 |          1 |          1 |
| c:\Users\lukas\Desktop\Game\src\characters\BigZombie.java                   | Java     |          4 |          0 |          3 |          7 |
| c:\Users\lukas\Desktop\Game\src\characters\Character.java                   | Java     |         59 |          1 |         15 |         75 |
| c:\Users\lukas\Desktop\Game\src\characters\CharacterFactory.java            | Java     |         18 |          2 |          3 |         23 |
| c:\Users\lukas\Desktop\Game\src\characters\Knight.java                      | Java     |          2 |          0 |          1 |          3 |
| c:\Users\lukas\Desktop\Game\src\characters\TinyZombie.java                  | Java     |         28 |          0 |         12 |         40 |
| c:\Users\lukas\Desktop\Game\src\characters\Wizard.java                      | Java     |          2 |          0 |          2 |          4 |
| c:\Users\lukas\Desktop\Game\src\gui\CheckBox.java                           | Java     |        -55 |          0 |        -15 |        -70 |
